,County,State,ImmCountRounded,Origin,OriginTooltip,CountyPercentbyOrigin,ImmCount,TotalImmPopRounded,TotalImm
1,"Fayette County, Georgia",Georgia,4000,Asia,Asia,0.000294978,4024,13641700,13641680
2,"Fayette County, Georgia",Georgia,1200,Caribbean,Caribbean,0.000284371,1233,4335900,4335884
3,"Fayette County, Georgia",Georgia,1800,Central America,Central America,0.00012442399999999999,1837,14764000,14763980
4,"Fayette County, Georgia",Georgia,1400,Eastern Asia,Eastern Asia,0.000338056,1413,4179800,4179779
5,"Fayette County, Georgia",Georgia,1900,Europe,Europe,0.00039296,1872,4763800,4763845
6,"Fayette County, Georgia",Georgia,1100,India,India,0.000418829,1073,2561900,2561906
7,"Fayette County, Georgia",Georgia,3900,Latin America,Latin America,0.000176133,3921,22261600,22261633
8,"Fayette County, Georgia",Georgia,1300,Mexico,Mexico,0.000117417,1321,11250500,11250541
9,"Fayette County, Georgia",Georgia,1600,South Central Asia,South Central Asia,0.00038952400000000003,1566,4020300,4020291
10,"Fayette County, Georgia",Georgia,11400,(All countries),all countries,0.000259524,11422,44011400,44011407
0,"Forsyth County, Georgia",Georgia,1600,Africa,Africa,0.000728063,1643,2256700,2256673
1,"Forsyth County, Georgia",Georgia,12000,Americas,Americas,0.000520929,12022,23078000,23077986
2,"Forsyth County, Georgia",Georgia,21700,Asia,Asia,0.00158954,21684,13641700,13641680
3,"Forsyth County, Georgia",Georgia,7400,Central America,Central America,0.000501965,7411,14764000,14763980
4,"Forsyth County, Georgia",Georgia,1300,"Central America, excluding Mexico","Central America, excl. Mexico",0.000356915,1254,3513400,3513439
5,"Forsyth County, Georgia",Georgia,2600,China,China,0.0009262039999999999,2570,2774800,2774768
6,"Forsyth County, Georgia",Georgia,2100,"China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",0.000948023,2050,2162400,2162395
7,"Forsyth County, Georgia",Georgia,2100,"China, excluding Taiwan","China, excl. Taiwan",0.0008898469999999999,2130,2393700,2393670
8,"Forsyth County, Georgia",Georgia,4400,Eastern Asia,Eastern Asia,0.001041203,4352,4179800,4179779
9,"Forsyth County, Georgia",Georgia,2000,Eastern Europe,Eastern Europe,0.0009531489999999999,2008,2106700,2106701
10,"Forsyth County, Georgia",Georgia,4500,Europe,Europe,0.000941676,4486,4763800,4763845
11,"Forsyth County, Georgia",Georgia,13400,India,India,0.005244533000000001,13436,2561900,2561906
12,"Forsyth County, Georgia",Georgia,1600,Korea,Korea,0.001542167,1611,1044600,1044634
13,"Forsyth County, Georgia",Georgia,11300,Latin America,Latin America,0.0005065219999999999,11276,22261600,22261633
14,"Forsyth County, Georgia",Georgia,6200,Mexico,Mexico,0.000547263,6157,11250500,11250541
15,"Forsyth County, Georgia",Georgia,1200,Northern Europe,Northern Europe,0.001234742,1167,945100,945137
16,"Forsyth County, Georgia",Georgia,1000,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.00033242199999999997,1001,3011200,3011229
17,"Forsyth County, Georgia",Georgia,3100,South America,South America,0.0009744539999999999,3081,3161800,3161769
18,"Forsyth County, Georgia",Georgia,14800,South Central Asia,South Central Asia,0.0036850570000000003,14815,4020300,4020291
19,"Forsyth County, Georgia",Georgia,1700,South Eastern Asia,South Eastern Asia,0.000396963,1693,4264900,4264879
20,"Forsyth County, Georgia",Georgia,1400,Sub-Saharan Africa,Sub-Saharan Africa,0.0007154739999999999,1355,1893800,1893849
21,"Forsyth County, Georgia",Georgia,40000,(All countries),all countries,0.0009080830000000001,39966,44011400,44011407
22,"Forsyth County, Georgia",Georgia,1100,Western Europe,Western Europe,0.0011113380000000001,1051,945700,945707
0,"Fulton County, Georgia",Georgia,12800,Africa,Africa,0.005661431999999999,12776,2256700,2256673
1,"Fulton County, Georgia",Georgia,45400,Americas,Americas,0.001966939,45393,23078000,23077986
2,"Fulton County, Georgia",Georgia,60400,Asia,Asia,0.00442834,60410,13641700,13641680
3,"Fulton County, Georgia",Georgia,3200,Brazil,Brazil,0.007428272,3220,433500,433479
4,"Fulton County, Georgia",Georgia,3400,Canada,Canada,0.004196318,3393,808600,808566
5,"Fulton County, Georgia",Georgia,9200,Caribbean,Caribbean,0.002118138,9184,4335900,4335884
6,"Fulton County, Georgia",Georgia,22000,Central America,Central America,0.001489707,21994,14764000,14763980
7,"Fulton County, Georgia",Georgia,2900,"Central America, excluding Mexico","Central America, excl. Mexico",0.000837356,2942,3513400,3513439
8,"Fulton County, Georgia",Georgia,10100,China,China,0.003629132,10070,2774800,2774768
9,"Fulton County, Georgia",Georgia,8300,"China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",0.003829088,8280,2162400,2162395
10,"Fulton County, Georgia",Georgia,8800,"China, excluding Taiwan","China, excl. Taiwan",0.003658817,8758,2393700,2393670
11,"Fulton County, Georgia",Georgia,2300,Colombia,Colombia,0.003032675,2309,761400,761374
12,"Fulton County, Georgia",Georgia,1300,Cuba,Cuba,0.000993119,1281,1289900,1289875
13,"Fulton County, Georgia",Georgia,3400,Eastern Africa,Eastern Africa,0.004967215,3365,677400,677442
14,"Fulton County, Georgia",Georgia,16500,Eastern Asia,Eastern Asia,0.0039581040000000005,16544,4179800,4179779
15,"Fulton County, Georgia",Georgia,6300,Eastern Europe,Eastern Europe,0.0030103940000000004,6342,2106700,2106701
16,"Fulton County, Georgia",Georgia,16100,Europe,Europe,0.003371436,16061,4763800,4763845
17,"Fulton County, Georgia",Georgia,1100,France,France,0.005838483,1060,181600,181554
18,"Fulton County, Georgia",Georgia,2000,Germany,Germany,0.003554807,1992,560400,560368
19,"Fulton County, Georgia",Georgia,1400,Ghana,Ghana,0.007758369,1384,178400,178388
20,"Fulton County, Georgia",Georgia,1200,Haiti,Haiti,0.0017364029999999999,1168,672700,672655
21,"Fulton County, Georgia",Georgia,27100,India,India,0.010581183999999999,27108,2561900,2561906
22,"Fulton County, Georgia",Georgia,2000,Iran,Iran,0.005271281,2015,382300,382260
23,"Fulton County, Georgia",Georgia,1500,Iraq,Iraq,0.006714421999999999,1511,225000,225038
24,"Fulton County, Georgia",Georgia,1500,Israel,Israel,0.010694911000000001,1451,135700,135672
25,"Fulton County, Georgia",Georgia,4100,Jamaica,Jamaica,0.005513997,4088,741400,741386
26,"Fulton County, Georgia",Georgia,1100,Japan,Japan,0.0032189840000000003,1111,345100,345140
27,"Fulton County, Georgia",Georgia,5400,Korea,Korea,0.005133855,5363,1044600,1044634
28,"Fulton County, Georgia",Georgia,41900,Latin America,Latin America,0.00188032,41859,22261600,22261633
29,"Fulton County, Georgia",Georgia,5000,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,0.004388192,5039,1148300,1148309
30,"Fulton County, Georgia",Georgia,19100,Mexico,Mexico,0.00169343,19052,11250500,11250541
31,"Fulton County, Georgia",Georgia,2600,Nigeria,Nigeria,0.007474191,2618,350300,350272
32,"Fulton County, Georgia",Georgia,1400,Northern Africa,Northern Africa,0.0039633540000000005,1438,362800,362824
33,"Fulton County, Georgia",Georgia,3500,Northern America,Northern America,0.00432901,3534,816400,816353
34,"Fulton County, Georgia",Georgia,4500,Northern Europe,Northern Europe,0.004769679000000001,4508,945100,945137
35,"Fulton County, Georgia",Georgia,2000,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.000666173,2006,3011200,3011229
36,"Fulton County, Georgia",Georgia,1000,Pakistan,Pakistan,0.002701215,1016,376100,376127
37,"Fulton County, Georgia",Georgia,1900,Philippines,the Philippines,0.0009672680000000001,1919,1983900,1983939
38,"Fulton County, Georgia",Georgia,2300,Russia,Russia,0.0057680380000000005,2259,391600,391641
39,"Fulton County, Georgia",Georgia,1300,South Africa,South Africa,0.012929956999999999,1345,104000,104022
40,"Fulton County, Georgia",Georgia,10700,South America,South America,0.003378172,10681,3161800,3161769
41,"Fulton County, Georgia",Georgia,32200,South Central Asia,South Central Asia,0.008008624,32197,4020300,4020291
42,"Fulton County, Georgia",Georgia,5900,South Eastern Asia,South Eastern Asia,0.0013941779999999998,5946,4264900,4264879
43,"Fulton County, Georgia",Georgia,1300,Southern Africa,Southern Africa,0.012385583,1345,108600,108594
44,"Fulton County, Georgia",Georgia,1300,Southern Europe,Southern Europe,0.0017124739999999999,1293,755000,755048
45,"Fulton County, Georgia",Georgia,11300,Sub-Saharan Africa,Sub-Saharan Africa,0.00598675,11338,1893800,1893849
46,"Fulton County, Georgia",Georgia,1300,Taiwan,Taiwan,0.003442684,1312,381100,381098
47,"Fulton County, Georgia",Georgia,135500,(All countries),all countries,0.0030794520000000003,135531,44011400,44011407
48,"Fulton County, Georgia",Georgia,3400,United Kingdom,the United Kingdom,0.00489399,3419,698600,698612
49,"Fulton County, Georgia",Georgia,2000,Venezuela,Venezuela,0.005798925,2028,349700,349720
50,"Fulton County, Georgia",Georgia,1700,Vietnam,Vietnam,0.0013021810000000001,1741,1337000,1336988
51,"Fulton County, Georgia",Georgia,5500,Western Africa,Western Africa,0.006492285,5454,840100,840074
52,"Fulton County, Georgia",Georgia,5600,Western Asia,Western Asia,0.004955022,5586,1127300,1127341
53,"Fulton County, Georgia",Georgia,3900,Western Europe,Western Europe,0.004123899,3900,945700,945707
0,"Gwinnett County, Georgia",Georgia,1100,Afghanistan,Afghanistan,0.010418718,1058,101500,101548
1,"Gwinnett County, Georgia",Georgia,26800,Africa,Africa,0.011864368,26774,2256700,2256673
2,"Gwinnett County, Georgia",Georgia,113000,Americas,Americas,0.004896788,113008,23078000,23077986
3,"Gwinnett County, Georgia",Georgia,79500,Asia,Asia,0.005824649,79458,13641700,13641680
4,"Gwinnett County, Georgia",Georgia,3300,Bangladesh,Bangladesh,0.013898721999999999,3298,237300,237288
5,"Gwinnett County, Georgia",Georgia,2100,Bosnia and Herzegovina,Bosnia and Herzegovina,0.020502607,2131,103900,103938
6,"Gwinnett County, Georgia",Georgia,2200,Canada,Canada,0.002764153,2235,808600,808566
7,"Gwinnett County, Georgia",Georgia,22600,Caribbean,Caribbean,0.005201016,22551,4335900,4335884
8,"Gwinnett County, Georgia",Georgia,67300,Central America,Central America,0.004558866,67307,14764000,14763980
9,"Gwinnett County, Georgia",Georgia,25400,"Central America, excluding Mexico","Central America, excl. Mexico",0.007225115,25385,3513400,3513439
10,"Gwinnett County, Georgia",Georgia,9100,China,China,0.003275589,9089,2774800,2774768
11,"Gwinnett County, Georgia",Georgia,7200,"China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",0.003313918,7166,2162400,2162395
12,"Gwinnett County, Georgia",Georgia,7700,"China, excluding Taiwan","China, excl. Taiwan",0.0032243379999999998,7718,2393700,2393670
13,"Gwinnett County, Georgia",Georgia,9000,Colombia,Colombia,0.011832555,9009,761400,761374
14,"Gwinnett County, Georgia",Georgia,3000,Cuba,Cuba,0.002352166,3034,1289900,1289875
15,"Gwinnett County, Georgia",Georgia,5700,Dominican Republic,Dominican Republic,0.005094142,5696,1118100,1118147
16,"Gwinnett County, Georgia",Georgia,7900,Eastern Africa,Eastern Africa,0.011726465,7944,677400,677442
17,"Gwinnett County, Georgia",Georgia,28300,Eastern Asia,Eastern Asia,0.006781938,28347,4179800,4179779
18,"Gwinnett County, Georgia",Georgia,10700,Eastern Europe,Eastern Europe,0.00506669,10674,2106700,2106701
19,"Gwinnett County, Georgia",Georgia,9700,El Salvador,El Salvador,0.00704051,9723,1381000,1381008
20,"Gwinnett County, Georgia",Georgia,4400,Ethiopia,Ethiopia,0.01772381,4427,249800,249777
21,"Gwinnett County, Georgia",Georgia,16300,Europe,Europe,0.003425594,16319,4763800,4763845
22,"Gwinnett County, Georgia",Georgia,1400,Germany,Germany,0.002519773,1412,560400,560368
23,"Gwinnett County, Georgia",Georgia,4100,Ghana,Ghana,0.023202233,4139,178400,178388
24,"Gwinnett County, Georgia",Georgia,7500,Guatemala,Guatemala,0.007676453000000001,7516,979100,979098
25,"Gwinnett County, Georgia",Georgia,2300,Guyana,Guyana,0.008310831999999999,2253,271100,271092
26,"Gwinnett County, Georgia",Georgia,2900,Haiti,Haiti,0.004260728,2866,672700,672655
27,"Gwinnett County, Georgia",Georgia,6300,Honduras,Honduras,0.009704772,6319,651100,651123
28,"Gwinnett County, Georgia",Georgia,14600,India,India,0.0056926369999999995,14584,2561900,2561906
29,"Gwinnett County, Georgia",Georgia,1100,Iraq,Iraq,0.004710316,1060,225000,225038
30,"Gwinnett County, Georgia",Georgia,7500,Jamaica,Jamaica,0.010131025,7511,741400,741386
31,"Gwinnett County, Georgia",Georgia,1300,Japan,Japan,0.003726024,1286,345100,345140
32,"Gwinnett County, Georgia",Georgia,1400,Kenya,Kenya,0.009975238,1414,141800,141751
33,"Gwinnett County, Georgia",Georgia,18000,Korea,Korea,0.017204112,17972,1044600,1044634
34,"Gwinnett County, Georgia",Georgia,1000,Laos,Laos,0.00559087,1015,181500,181546
35,"Gwinnett County, Georgia",Georgia,110700,Latin America,Latin America,0.004973984,110729,22261600,22261633
36,"Gwinnett County, Georgia",Georgia,1600,Liberia,Liberia,0.018558716,1633,88000,87991
37,"Gwinnett County, Georgia",Georgia,3900,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,0.003362335,3861,1148300,1148309
38,"Gwinnett County, Georgia",Georgia,41900,Mexico,Mexico,0.0037262209999999996,41922,11250500,11250541
39,"Gwinnett County, Georgia",Georgia,1800,Middle Africa,Middle Africa,0.011798355,1815,153800,153835
40,"Gwinnett County, Georgia",Georgia,5900,Nigeria,Nigeria,0.016781244,5878,350300,350272
41,"Gwinnett County, Georgia",Georgia,1600,Northern Africa,Northern Africa,0.004272044,1550,362800,362824
42,"Gwinnett County, Georgia",Georgia,2300,Northern America,Northern America,0.0027916840000000004,2279,816400,816353
43,"Gwinnett County, Georgia",Georgia,2700,Northern Europe,Northern Europe,0.002870483,2713,945100,945137
44,"Gwinnett County, Georgia",Georgia,23600,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.007823384000000001,23558,3011200,3011229
45,"Gwinnett County, Georgia",Georgia,4300,Pakistan,Pakistan,0.011488141,4321,376100,376127
46,"Gwinnett County, Georgia",Georgia,1900,Peru,Peru,0.004221018,1904,451100,451076
47,"Gwinnett County, Georgia",Georgia,2500,Philippines,the Philippines,0.001262136,2504,1983900,1983939
48,"Gwinnett County, Georgia",Georgia,3300,Romania,Romania,0.020475667,3318,162000,162046
49,"Gwinnett County, Georgia",Georgia,1200,Russia,Russia,0.00301807,1182,391600,391641
50,"Gwinnett County, Georgia",Georgia,20900,South America,South America,0.006601051,20871,3161800,3161769
51,"Gwinnett County, Georgia",Georgia,25700,South Central Asia,South Central Asia,0.0063945619999999995,25708,4020300,4020291
52,"Gwinnett County, Georgia",Georgia,22600,South Eastern Asia,South Eastern Asia,0.0053070669999999995,22634,4264900,4264879
53,"Gwinnett County, Georgia",Georgia,25200,Sub-Saharan Africa,Sub-Saharan Africa,0.013318908,25224,1893800,1893849
54,"Gwinnett County, Georgia",Georgia,1400,Taiwan,Taiwan,0.0035975,1371,381100,381098
55,"Gwinnett County, Georgia",Georgia,235900,(All countries),all countries,0.005359724000000001,235889,44011400,44011407
56,"Gwinnett County, Georgia",Georgia,1100,Trinidad and Tobago,Trinidad and Tobago,0.004686243,1078,230000,230035
57,"Gwinnett County, Georgia",Georgia,2100,United Kingdom,the United Kingdom,0.0030245690000000004,2113,698600,698612
58,"Gwinnett County, Georgia",Georgia,1100,Uruguay,Uruguay,0.02266538,1057,46600,46635
59,"Gwinnett County, Georgia",Georgia,4400,Venezuela,Venezuela,0.012507148999999999,4374,349700,349720
60,"Gwinnett County, Georgia",Georgia,15700,Vietnam,Vietnam,0.011738325,15694,1337000,1336988
61,"Gwinnett County, Georgia",Georgia,13800,Western Africa,Western Africa,0.01647712,13842,840100,840074
62,"Gwinnett County, Georgia",Georgia,2700,Western Asia,Western Asia,0.002381711,2685,1127300,1127341
63,"Gwinnett County, Georgia",Georgia,2000,Western Europe,Western Europe,0.002084155,1971,945700,945707
0,"Hall County, Georgia",Georgia,27700,Americas,Americas,0.001202401,27749,23078000,23077986
1,"Hall County, Georgia",Georgia,2700,Asia,Asia,0.00019638299999999998,2679,13641700,13641680
2,"Hall County, Georgia",Georgia,1100,Caribbean,Caribbean,0.000243318,1055,4335900,4335884
3,"Hall County, Georgia",Georgia,25000,Central America,Central America,0.0016931070000000001,24997,14764000,14763980
4,"Hall County, Georgia",Georgia,5400,"Central America, excluding Mexico","Central America, excl. Mexico",0.0015341089999999999,5390,3513400,3513439
5,"Hall County, Georgia",Georgia,2300,El Salvador,El Salvador,0.001692242,2337,1381000,1381008
6,"Hall County, Georgia",Georgia,1200,Europe,Europe,0.000247069,1177,4763800,4763845
7,"Hall County, Georgia",Georgia,1500,Guatemala,Guatemala,0.001511595,1480,979100,979098
8,"Hall County, Georgia",Georgia,1400,Honduras,Honduras,0.002093306,1363,651100,651123
9,"Hall County, Georgia",Georgia,27300,Latin America,Latin America,0.001228481,27348,22261600,22261633
10,"Hall County, Georgia",Georgia,19600,Mexico,Mexico,0.001742761,19607,11250500,11250541
11,"Hall County, Georgia",Georgia,5200,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.0017202279999999999,5180,3011200,3011229
12,"Hall County, Georgia",Georgia,1300,South America,South America,0.000409897,1296,3161800,3161769
13,"Hall County, Georgia",Georgia,1300,South Eastern Asia,South Eastern Asia,0.00030247,1290,4264900,4264879
14,"Hall County, Georgia",Georgia,32400,(All countries),all countries,0.0007362410000000001,32403,44011400,44011407
15,"Hall County, Georgia",Georgia,1000,Vietnam,Vietnam,0.000752438,1006,1337000,1336988
0,"Henry County, Georgia",Georgia,1900,Africa,Africa,0.0008574569999999999,1935,2256700,2256673
1,"Henry County, Georgia",Georgia,9600,Americas,Americas,0.00041468099999999997,9570,23078000,23077986
2,"Henry County, Georgia",Georgia,4700,Asia,Asia,0.00034607199999999995,4721,13641700,13641680
3,"Henry County, Georgia",Georgia,4200,Caribbean,Caribbean,0.00097927,4246,4335900,4335884
4,"Henry County, Georgia",Georgia,3500,Central America,Central America,0.00023631799999999998,3489,14764000,14763980
5,"Henry County, Georgia",Georgia,1300,Europe,Europe,0.000272469,1298,4763800,4763845
6,"Henry County, Georgia",Georgia,1600,India,India,0.0006233640000000001,1597,2561900,2561906
7,"Henry County, Georgia",Georgia,1900,Jamaica,Jamaica,0.002542535,1885,741400,741386
8,"Henry County, Georgia",Georgia,8900,Latin America,Latin America,0.000401902,8947,22261600,22261633
9,"Henry County, Georgia",Georgia,2500,Mexico,Mexico,0.000224078,2521,11250500,11250541
10,"Henry County, Georgia",Georgia,1200,South America,South America,0.00038333,1212,3161800,3161769
11,"Henry County, Georgia",Georgia,2100,South Central Asia,South Central Asia,0.000524091,2107,4020300,4020291
12,"Henry County, Georgia",Georgia,1800,South Eastern Asia,South Eastern Asia,0.000427445,1823,4264900,4264879
13,"Henry County, Georgia",Georgia,1900,Sub-Saharan Africa,Sub-Saharan Africa,0.000999552,1893,1893800,1893849
14,"Henry County, Georgia",Georgia,17900,(All countries),all countries,0.00040637199999999995,17885,44011400,44011407
15,"Henry County, Georgia",Georgia,1100,Vietnam,Vietnam,0.000847427,1133,1337000,1336988
16,"Henry County, Georgia",Georgia,1400,Western Africa,Western Africa,0.001684375,1415,840100,840074
0,"Whitfield County, Georgia",Georgia,17800,Americas,Americas,0.0007718610000000001,17813,23078000,23077986
1,"Whitfield County, Georgia",Georgia,1400,Asia,Asia,0.00010211399999999999,1393,13641700,13641680
2,"Whitfield County, Georgia",Georgia,17200,Central America,Central America,0.001166081,17216,14764000,14763980
3,"Whitfield County, Georgia",Georgia,2200,"Central America, excluding Mexico","Central America, excl. Mexico",0.000622752,2188,3513400,3513439
4,"Whitfield County, Georgia",Georgia,17800,Latin America,Latin America,0.000798234,17770,22261600,22261633
5,"Whitfield County, Georgia",Georgia,15000,Mexico,Mexico,0.0013357579999999998,15028,11250500,11250541
6,"Whitfield County, Georgia",Georgia,2100,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.000688091,2072,3011200,3011229
7,"Whitfield County, Georgia",Georgia,19500,(All countries),all countries,0.000442044,19455,44011400,44011407
